X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Enthalpy_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.201869994,0.671590924,0,125721.125,2000,0,0,0,0.255346686,0,0,784.678894,125721.125,2000,-3112192.25,-4.92E+09,3.31E-07,-1758511.88,640046.125,0,-4830137,1758026.62,0,1.25013149,0.683308303,0.238759473,1192410.5,0,0,5212.32715,0.05699851,0.481674075,0.329961538,1.78E-17,0.156809911,5.42E-10,0.031554438
0.203498766,0.676065922,0,125722.961,2000,0,0,0,0.255356848,0,0,784.664917,125722.961,2000,-3112645.75,-4.93E+09,3.31E-07,-1759450.25,640387.688,0,-4832785,1758990.38,0,1.25011861,0.683310091,0.238174215,1193163.5,0,0,5215.52686,0.056719445,0.481810063,0.329874963,1.79E-17,0.156734824,5.47E-10,0.031580091
0.205127537,0.680540919,0,125717.656,2000,0,0,0,0.255352765,0,0,784.650391,125717.656,2000,-3113117.25,-4.93E+09,3.31E-07,-1760704.88,640844.438,0,-4836198,1760232.88,0,1.25010538,0.683312058,0.23759079,1193822.25,0,0,5218.31201,0.056441933,0.481949985,0.329785913,1.81E-17,0.156657904,5.53E-10,0.031606171
0.206756309,0.685015976,0,125703.016,2000,0,0,0,0.255329609,0,0,784.636108,125703.016,2000,-3113581.5,-4.94E+09,3.31E-07,-1762177.38,641380.375,0,-4840210.5,1761693.25,0,1.25009215,0.683314025,0.237002611,1194394.25,0,0,5220.71582,0.056162849,0.482092083,0.329695463,1.83E-17,0.156578869,5.58E-10,0.031633571
0.20838508,0.689490974,0,125681.922,2000,0,0,0,0.25529322,0,0,784.621948,125681.922,2000,-3114041.5,-4.94E+09,3.31E-07,-1763594.38,641896.125,0,-4844107,1763111.5,0,1.25007892,0.683315992,0.236394972,1194935.88,0,0,5222.9834,0.055875227,0.482237399,0.329602927,1.84E-17,0.156497091,5.64E-10,0.031662531
0.210013852,0.693965971,0,125660.664,2000,0,0,0,0.255256832,0,0,784.607178,125660.664,2000,-3114523,-4.95E+09,3.31E-07,-1764752.5,642317.562,0,-4847284,1764267.5,0,1.25006509,0.683317959,0.235759526,1195515.38,0,0,5225.4126,0.055575237,0.482388735,0.329506606,1.86E-17,0.156412095,5.69E-10,0.031692535
0.211642608,0.698440969,0,125645.273,2000,0,0,0,0.255233288,0,0,784.590393,125645.273,2000,-3115066.25,-4.96E+09,3.32E-07,-1765512.38,642594.062,0,-4849410,1765041.25,0,1.25004983,0.683320105,0.235094428,1196156.75,0,0,5228.10791,0.0552621,0.482549727,0.329404116,1.88E-17,0.156323612,5.74E-10,0.031722501
0.213271379,0.702915967,0,125639.078,2000,0,0,0,0.25522992,0,0,784.57074,125639.078,2000,-3115704.25,-4.96E+09,3.32E-07,-1766047.25,642788.75,0,-4850954,1765603.25,0,1.25003242,0.68332243,0.234414697,1196871.75,0,0,5231.11914,5.49E-02,0.482722908,0.329293877,1.90E-17,0.156231835,5.80E-10,0.031751346
0.214900151,0.707390964,0,125641.469,2000,0,0,0,0.255245328,0,0,784.548401,125641.469,2000,-3116425.5,-4.97E+09,3.32E-07,-1766639.25,643004.188,0,-4852516,1766171.75,0,1.25001299,0.683324933,0.233734891,1197679.75,0,0,5234.53271,5.46E-02,0.482906342,0.329177082,1.91E-17,0.156137466,5.86E-10,0.031779047
0.216528922,0.711866021,0,125647.812,2000,0,0,0,0.255268842,0,0,784.525879,125647.812,2000,-3117155,-4.98E+09,3.31E-07,-1767473.88,643308.062,0,-4854770.5,1766992.5,0,1.24999344,0.683327436,0.233066037,1198565.62,0,0,5238.28613,0.054312587,0.483091027,0.329059541,1.93E-17,0.15604268,5.92E-10,0.031806726
