x,y,qdot,,,
0.057619531,0.005264141,156931.438,,,
0.058438245,0.005264141,153994.469,,,
0.059264615,0.005264141,147630.844,,,
0.060098037,0.005264141,140684.938,,,
0.060939893,0.005264141,134637.875,,,
0.061788898,0.005264141,129327.523,,,
0.06264548,0.005264141,124716.891,,,
0.063510187,0.005264141,121376.914,,,
0.064381979,0.005264141,119790.992,,,
0.065262049,0.005264141,120334.016,,,
0.066149712,0.005264141,123103.352,,,
0.067044675,0.005264141,127059.547,,,
0.067948364,0.005264141,130761.898,,,
0.06885922,0.005264141,133486.016,,,
0.069778174,0.005264141,134893.578,,,
0.070705295,0.005264141,135421.828,,,
0.071639665,0.005264141,136188.078,,,
0.072583012,0.005264141,137744.047,,,
0.07353393,0.005264141,139745.219,,,
0.074492723,0.005264141,141032.328,,,
0.075460434,0.005264141,141771.281,,,
0.076435573,0.005264141,143557.188,,,
0.077419587,0.005264141,146642.422,,,
0.078411907,0.005264141,149123.203,,,
0.079411879,0.005264141,150745.203,,,
0.080421694,0.005264141,153000.891,,,
0.081439212,0.005264141,155846.859,,,
0.082465485,0.005264141,158556.594,,,
0.083501004,0.005264141,161182.484,,,
0.084544413,0.005264141,163495.188,,,
0.085597836,0.005264141,165315.875,,,
0.086663611,0.005264141,167289.859,,,
0.087741971,0.005264141,169812.391,,,
0.088855892,0.005264141,172191.719,,,
0.090002954,0.005264141,174719.734,,,
0.091184437,0.005264141,177246.797,,,
0.092399545,0.005264141,179481.141,,,
0.093646683,0.005264141,182250.094,,,
0.094928227,0.005264141,184384.047,,,
0.09624096,0.005264141,186482.75,,,
0.097585298,0.005264141,189139,,,
0.098961607,0.005264141,191686.984,,,
0.100367263,0.005264141,193846.953,,,
0.101803958,0.005264141,195471,,,
0.103269525,0.005264141,196820.875,,,
0.104762763,0.005264141,197911.422,,,
0.106285483,0.005264141,198819.672,,,
0.107833952,0.005264141,199605.859,,,
0.109409131,0.005264141,200323.734,,,
0.111010157,0.005264141,200918.891,,,
0.112634443,0.005264141,201326.969,,,
0.114284396,0.005264141,201515.984,,,
0.115956277,0.005264141,201484.766,,,
0.117649846,0.005264141,201226.266,,,
0.119365931,0.005264141,200725.234,,,
0.121100865,0.005264141,199922.734,,,
0.122856423,0.005264141,198924.797,,,
0.124630399,0.005264141,197990.406,,,
0.126420766,0.005264141,197241.703,,,
0.128230453,0.005264141,196548.172,,,
0.130054608,0.005264141,195643.922,,,
0.131894335,0.005264141,194389.719,,,
0.133749366,0.005264141,192856.094,,,
0.135616481,0.005264141,191288.938,,,
0.137498647,0.005264141,190001.734,,,
0.139392242,0.005264141,189299.234,,,
0.141296759,0.005264141,189483.719,,,
0.143214315,0.005264141,190691.344,,,
0.145140544,0.005264141,192706.188,,,
0.147077844,0.005264141,195105.094,,,
0.149024785,0.005264141,197514.797,,,
0.150978848,0.005264141,199681.188,,,
0.152944714,0.005264141,201435.578,,,
0.154917046,0.005264141,202659.766,,,
0.156897366,0.005264141,203335.906,,,
0.158886895,0.005264141,203552.891,,,
0.160881966,0.005264141,203435.203,,,
0.162886649,0.005264141,203141.188,,,
0.164898038,0.005264141,202712.328,,,
0.166915461,0.005264141,202026.109,,,
0.168943167,0.005264141,201180.406,,,
0.170976162,0.005264141,200807.734,,,
0.17301774,0.005264141,200604.734,,,
0.175067768,0.005264141,199460.281,,,
0.177123547,0.005264141,197512.828,,,
0.179191127,0.005264141,195691.891,,,
0.181265607,0.005264141,194424.703,,,
0.1833487,0.005264141,193492.594,,,
0.18544355,0.005264141,192690.844,,,
0.187545896,0.005264141,191987,,,
0.189660951,0.005264141,191183.672,,,
0.191786751,0.005264141,190058.25,,,
0.193922147,0.005264141,188687.156,,,
0.196073949,0.005264141,187259.047,,,
0.198236123,0.005264141,185812.609,,,
0.20041275,0.005264141,184312.312,,,
0.202605233,0.005264141,182767.328,,,
0.204810247,0.005264141,181227.234,,,
0.207035094,0.005264141,179728.125,,,
0.209275335,0.005264141,178277.797,,,
0.211532339,0.005264141,176864.375,,,
0.213811472,0.005264141,175454.156,,,
0.216107309,0.005264141,173999.859,,,
0.218425944,0.005264141,172484.25,,,
0.22076644,0.005264141,170931.656,,,
0.223126441,0.005264141,169369.344,,,
0.225486442,0.005264141,167803.172,,,
0.227846444,0.005264141,166249.391,,,
0.230301365,0.005264141,164743.375,,,
0.232855007,0.005264141,163309.266,,,
0.235511318,0.005264141,161931.469,,,
0.238274381,0.005264141,160578.469,,,
0.241148457,0.005264141,159251.906,,,
0.244137987,0.005264141,157975.078,,,
0.247247547,0.005264141,156759.844,,,
0.250481933,0.005264141,155566.906,,,
0.253846079,0.005264141,154335.984,,,
0.2573452,0.005264141,153048.328,,,
0.260984629,0.005264141,151716.844,,,
0.264769912,0.005264141,150366.047,,,
0.268706888,0.005264141,149059.828,,,
0.272801518,0.005264141,147827.703,,,
0.277060062,0.005264141,146577.203,,,
0.281489015,0.005264141,145204.703,,,
0.286095083,0.005264141,143793.531,,,
0.290885329,0.005264141,142457.109,,,
0.295866936,0.005264141,141167.078,,,
0.301047474,0.005264141,139871.828,,,
0.30643481,0.005264141,138533.438,,,
0.312037021,0.005264141,137145.938,,,
0.31786257,0.005264141,135732.922,,,
0.32392022,0.005264141,134309.375,,,
0.33021903,0.005264141,132911.922,,,
0.336768508,0.005264141,131582.188,,,
0.343578368,0.005264141,130247.617,,,
0.350658774,0.005264141,128844.727,,,
0.358020335,0.005264141,127440.703,,,
0.3656739,0.005264141,126123.32,,,
0.373630822,0.005264141,124948.617,,,
0.381902903,0.005264141,123845.305,,,
0.390502304,0.005264141,122626.695,,,
0.39944163,0.005264141,121197.398,,,
0.408734053,0.005264141,119747.016,,,
0.418393075,0.005264141,118518.836,,,
0.428432822,0.005264141,117535.383,,,
0.438867837,0.005264141,116686.477,,,
0.44971326,0.005264141,115800.633,,,
0.460984677,0.005264141,114794.133,,,
0.472698331,0.005264141,113694.023,,,
0.48487094,0.005264141,112569.281,,,
0.49751994,0.005264141,111513.211,,,
0.510663211,0.005264141,110538.734,,,
0.524319351,0.005264141,109608.719,,,
0.53850764,0.005264141,108684.289,,,
0.553247929,0.005264141,107727.445,,,
0.568560779,0.005264141,106725.211,,,
0.584467351,0.005264141,105695.789,,,
0.600989759,0.005264141,104660.5,,,
0.618150532,0.005264141,103620.32,,,
0.635973155,0.005264141,102570.016,,,
0.654481828,0.005264141,101530.062,,,
0.673701406,0.005264141,100524.055,,,
0.693657756,0.005264141,99575.5391,,,
0.714377403,0.005264141,98693.4375,,,
0.735887706,0.005264141,97877.4531,,,
0.758216798,0.005264141,97133,,,
0.781393886,0.005264141,96419.1484,,,
0.805448771,0.005264141,95723.25,,,
0.830412269,0.005264141,95048.4375,,,
0.856316149,0.005264141,94399.1016,,,
0.883192897,0.005264141,93804.1328,,,
0.911076069,0.005264141,93258.8906,,,
0.939999998,0.005264141,92739.2188,,,
0.969999969,0.005264141,92218.1719,,,
1,0.005264141,91951.6328,,,
