x,y,qdot
0.065854482,0.005264141,215223.766
0.066353761,0.005264141,215632.875
0.066853039,0.005264141,216037.266
0.06735231,0.005264141,216437.266
0.067851588,0.005264141,216832.797
0.068350866,0.005264141,217223.812
0.068850137,0.005264141,217610.531
0.069349416,0.005264141,217993.484
0.069848694,0.005264141,218372.062
0.070347965,0.005264141,218745.875
0.070847243,0.005264141,219115.859
0.071346521,0.005264141,219481.969
0.0718458,0.005264141,219843.891
0.072345071,0.005264141,220202
0.072844349,0.005264141,220556.125
0.073343627,0.005264141,220905.812
0.073842898,0.005264141,221251.188
0.074342176,0.005264141,221592.406
0.074841455,0.005264141,221929.5
0.075340726,0.005264141,222262.609
0.075840004,0.005264141,222591.781
0.076339282,0.005264141,222916.859
0.07683856,0.005264141,223237.703
0.077337831,0.005264141,223554.578
0.07783711,0.005264141,223868.109
0.078336388,0.005264141,224178.094
0.078835659,0.005264141,224482.219
0.079334937,0.005264141,224781.906
0.079834215,0.005264141,225078.656
0.080333486,0.005264141,225371.078
0.080832765,0.005264141,225659.625
0.081332043,0.005264141,225943.953
0.081831321,0.005264141,226224.25
0.082330592,0.005264141,226500.422
0.08282987,0.005264141,226772.344
0.083329149,0.005264141,227040.547
0.083828419,0.005264141,227305.141
0.084327698,0.005264141,227565.391
0.084826976,0.005264141,227821.312
0.085326247,0.005264141,228073.125
0.085825525,0.005264141,228320.75
0.086324804,0.005264141,228564.266
0.086824082,0.005264141,228803.625
0.087323353,0.005264141,229038.719
0.087822631,0.005264141,229269.562
0.088321909,0.005264141,229496.422
0.08882118,0.005264141,229719.25
0.089320459,0.005264141,229937.844
0.089819737,0.005264141,230151.625
0.090319008,0.005264141,230361.953
0.090818286,0.005264141,230568.109
0.091317564,0.005264141,230769.734
0.091816843,0.005264141,230967.531
0.092316113,0.005264141,231160.922
0.092815392,0.005264141,231350.375
0.09331467,0.005264141,231536.062
0.093813941,0.005264141,231717.797
0.094313219,0.005264141,231895.297
0.094812498,0.005264141,232068.766
0.095311768,0.005264141,232238.078
0.095811047,0.005264141,232403
0.096310325,0.005264141,232563.766
0.096809596,0.005264141,232720.266
0.097308874,0.005264141,232872.969
0.097808152,0.005264141,233021.641
0.098307431,0.005264141,233166.094
0.098806702,0.005264141,233308.562
0.09930598,0.005264141,233447.078
0.099805258,0.005264141,233579.609
0.100304529,0.005264141,233708
0.100803807,0.005264141,233832.422
0.101303086,0.005264141,233952.844
0.101802357,0.005264141,234069.344
0.102301635,0.005264141,234181.906
0.102800913,0.005264141,234290.375
0.103300191,0.005264141,234394.75
