x,y,P,T,CO2,CO,C2,O2,C,O
0.246126458,0.793184578,1,1,0.599360764,0.255043507,3.88E-18,0.142010763,2.98E-11,0.003584881
0.251045674,0.806699991,1,1,0.599989057,0.254643589,3.87E-18,0.141799197,2.97E-11,0.003568136
0.255964875,0.820215404,1,1,0.600598276,0.254255742,3.87E-18,0.14159368,2.96E-11,0.003552268
0.260884106,0.833730876,1,1,0.6011886,0.253879935,3.86E-18,0.141394258,2.95E-11,0.003537143
0.265803307,0.847246289,1,1,0.601759911,0.253516227,3.86E-18,0.141201168,2.94E-11,0.003522619
0.270722508,0.860761702,1,1,0.602314174,0.253163427,3.85E-18,0.141013741,2.93E-11,0.003508638
0.275641739,0.874277115,1,1,0.602851212,0.252821535,3.85E-18,0.140831888,2.93E-11,0.003495325
0.280560941,0.887792528,1,1,0.603367507,0.252492875,3.85E-18,0.14065659,2.92E-11,0.003483004
0.285480142,0.901308,1,1,0.603860319,0.252179146,3.84E-18,0.140488341,2.91E-11,0.003472158
0.290399373,0.914823413,1,1,0.604320765,0.25188601,3.84E-18,0.140329733,2.90E-11,0.003463428
0.295318574,0.928338826,1,1,0.604741871,0.251617968,3.83E-18,0.140182689,2.90E-11,0.003457455
0.300237805,0.941854239,1,1,0.60511744,0.251378864,3.82E-18,0.140048936,2.89E-11,0.003454726
0.305157006,0.955369711,1,1,0.605440915,0.2511729,3.82E-18,0.13993068,2.89E-11,0.003455418
0.310076207,0.968885124,1,1,0.605706036,0.251004159,3.81E-18,0.139830396,2.89E-11,0.003459365
0.314995438,0.982400537,1,1,0.605906725,0.250876397,3.81E-18,0.139750704,2.89E-11,0.003466119
0.319914639,0.995915949,1,1,0.606044471,0.250788689,3.80E-18,0.13969171,2.89E-11,0.003475058
0.32483387,1.00943136,1,1,0.606122613,0.250738978,3.80E-18,0.139652714,2.90E-11,0.003485661
0.329753071,1.02294683,1,1,0.606146276,0.250723898,3.79E-18,0.139632508,2.90E-11,0.003497271
0.334672272,1.03646219,1,1,0.606117725,0.250742078,3.79E-18,0.139630288,2.91E-11,0.003509873
0.339591503,1.04997766,1,1,0.606040955,0.250790954,3.79E-18,0.139643878,2.91E-11,0.00352419
0.344510704,1.06349301,1,1,0.60591954,0.250868231,3.78E-18,0.139671907,2.92E-11,0.003540281
0.349429935,1.07700849,1,1,0.605751991,0.250974894,3.78E-18,0.139714882,2.93E-11,0.003558198
0.354349136,1.09052396,1,1,0.605536044,0.251112372,3.78E-18,0.139772981,2.94E-11,0.003578585
