X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Enthalpy_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.003347853,0.066558637,0,37667.8477,2000,0,0,0,0.098650679,0,0,669.566345,37667.8477,2000,-6767728,-1713428.75,9.73E-07,2923.93359,-294.914398,0,-196481.719,19819.3516,0,1.17405677,0.689404666,0.030516349,8194.25977,0,0,34.3637772,0.000924899,0.987126112,0.008195393,6.03E-17,0.001856566,1.71E-10,0.002821918
0.003842719,0.071295045,0,37688.3359,2000,0,0,0,0.098708697,0,0,669.548706,37688.3359,2000,-6768280,-1702817.75,9.72E-07,1749.31555,-188.654633,0,-219487.141,23733.1797,0,1.17404675,0.68940419,0.031962991,9362.36621,0,0,39.2622528,0.001015147,0.987190366,0.008154459,5.80E-17,0.001842321,1.67E-10,0.002812796
0.004371578,0.076027781,0,37688.9922,2000,0,0,0,0.098713249,0,0,669.537231,37688.9922,2000,-6768639.5,-1696772.75,9.72E-07,-1488.74963,172.48877,0,-241344.359,27849.4219,0,1.17404008,0.689401865,0.033210229,12041.04,0,0,50.4954529,0.001096697,0.987235188,0.008125943,5.63E-17,0.001830828,1.64E-10,0.002808009
0.004934402,0.080756605,0,37683.5039,2000,0,0,0,0.098702878,0,0,669.520935,37683.5039,2000,-6769147,-1690869.38,9.72E-07,-6650.16211,816.859741,0,-261901.516,32128.8828,0,1.17403078,0.689398766,0.03427368,15767.8418,0,0,66.12397,0.001169614,0.987295747,0.008087403,5.59E-17,0.001816641,1.61E-10,0.002800196
0.005531162,0.085481256,0,37660.1172,2000,0,0,0,0.09864714,0,0,669.498596,37660.1172,2000,-6769843.5,-1675686.25,9.73E-07,-12830.9717,1668.51245,0,-282085.781,36661.4922,0,1.17401803,0.689395547,0.035249662,19973.6191,0,0,83.7609406,0.001238436,0.987376571,0.008035929,5.66E-17,0.001798895,1.59E-10,0.002788557
0.006161828,0.090201505,0,37629.3633,2000,0,0,0,0.098573715,0,0,669.469666,37629.3633,2000,-6770745,-1655786.38,9.74E-07,-18970.8418,2605.0979,0,-300102.219,41195.8633,0,1.17400157,0.689392507,0.036040567,24307.0762,0,0,101.933075,0.001295682,0.98747921,0.007970619,5.77E-17,0.001777488,1.57E-10,0.00277268
0.006826366,0.094917104,0,37588.0469,2000,0,0,0,0.098474301,0,0,669.433899,37588.0469,2000,-6771857.5,-1628811.12,9.75E-07,-25449.7891,3680.81982,0,-317356.25,45887.6797,0,1.17398131,0.689390004,0.036748659,28402.7148,0,0,119.107605,0.001347906,0.987604022,0.007891144,5.83E-17,0.001752423,1.56E-10,0.002752375
0.007524742,0.099627808,0,37538.3047,2000,0,0,0,0.098354392,0,0,669.391602,37538.3047,2000,-6773173.5,-1596217.38,9.76E-07,-32453.1348,4931.62988,0,-333089.031,50606.125,0,1.17395735,0.689388275,0.03734057,32131.9062,0,0,134.745087,0.001392377,0.987750351,0.007797993,5.83E-17,0.001723806,1.54E-10,0.002727816
0.008256922,0.104333378,0,37481.8164,2000,0,0,0,0.098218441,0,0,669.34259,37481.8164,2000,-6774698,-1557965.75,9.77E-07,-39918.1797,6359.30664,0,-347704.25,55383.2227,0,1.17392957,0.689387262,0.037849616,35381.3906,0,0,148.37059,0.001431213,0.987918615,0.007690873,5.81E-17,0.001691571,1.51E-10,0.002698899
0.009022865,0.109033577,0,37417.9883,2000,0,0,0,0.098064534,0,0,669.288208,37417.9883,2000,-6776387,-1514813.12,9.79E-07,-47505.9414,7917.97852,0,-361466.562,60239.1484,0,1.17389894,0.689387083,0.038296443,38086.9883,0,0,159.714996,0.001465666,0.988104343,0.007572657,5.80E-17,0.001656439,1.49E-10,0.002666545
0.009822534,0.113728143,0,37348.5547,2000,0,0,0,0.097896896,0,0,669.229797,37348.5547,2000,-6778204.5,-1468477.5,9.81E-07,-55073.4766,9585.94434,0,-374543.656,65185.4609,0,1.1738658,0.689387619,0.038694039,40234.9297,0,0,168.720642,0.001496595,0.988303363,0.007445943,5.81E-17,0.001619196,1.45E-10,0.002631452
0.010655887,0.118416853,0,37273.2383,2000,0,0,0,0.097714566,0,0,669.168152,37273.2383,2000,-6780119,-1419740.88,9.83E-07,-62531.3945,11346.9746,0,-387136,70244.1484,0,1.17383111,0.689388871,0.039055381,41805.4922,0,0,175.304901,0.001524901,0.988512397,0.007312898,5.76E-17,0.001580524,1.42E-10,0.002594173
0.011522882,0.123099461,0,37194.0312,2000,0,0,0,0.097522564,0,0,669.104126,37194.0312,2000,-6782108.5,-1369391.62,9.85E-07,-69811.6641,13186.2812,0,-399287.562,75413.9297,0,1.17379498,0.689390719,0.039385058,42813.332,0,0,179.529327,0.001550901,0.988728702,0.007175184,5.65E-17,0.001540946,1.38E-10,0.002555134
