X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.002174949,0.008217677,0,138777.109,2000,0,0,0,0.296848387,0,0,759.536804,138777.109,2000,-539363264,2.93E-07,-6320.61768,2301.78198,0,-18538.3398,6750.88721,0,1.23355532,0.685576558,0.045850135,357263.969,0,0,1560.23572,0.002097666,0.542242706,0.291329592,6.11E-18,0.160675064,7.86E-12,0.005752596
0.002337514,0.008664321,0,138776.484,2000,0,0,0,0.296945035,0,0,759.375793,138776.484,2000,-536396736,2.92E-07,-6549.73828,2385.19092,0,-19170.5059,6981.03711,0,1.23344004,0.685588717,0.046595823,356533.531,0,0,1556.94434,0.002166097,0.54298991,0.290853918,4.81E-18,0.160428509,8.45E-12,0.005727622
0.002500079,0.009110966,0,138775.844,2000,0,0,0,0.297029406,0,0,759.234924,138775.844,2000,-534038752,2.92E-07,-6781.92871,2469.71558,0,-19816.5293,7216.25342,0,1.23333895,0.68560034,0.047266036,355979.406,0,0,1554.43494,0.002228592,0.54364866,0.290434569,2.58E-18,0.160208926,8.60E-12,0.005707804
0.002662644,0.009557609,0,138775.172,2000,0,0,0,0.29710421,0,0,759.109802,138775.172,2000,-531933824,2.92E-07,-7017.70801,2555.54907,0,-20477.3867,7456.8418,0,1.23324919,0.685612202,0.047828291,355551.562,0,0,1552.48657,0.002281569,0.544235051,0.290061265,1.31E-18,0.160013065,8.81E-12,0.005690555
0.00282521,0.010004254,0,138774.5,2000,0,0,0,0.297170609,0,0,758.998413,138774.5,2000,-530326848,2.92E-07,-7257.74463,2642.92969,0,-21153.0879,7702.84082,0,1.2331692,0.685624897,0.048240069,355209.25,0,0,1550.92065,0.002320604,0.54475832,0.289728165,8.64E-19,0.159837723,8.94E-12,0.005675743
0.002987775,0.010450898,0,138773.797,2000,0,0,0,0.297230124,0,0,758.898315,138773.797,2000,-528731008,2.92E-07,-7500.5459,2731.29272,0,-21843.3594,7954.10352,0,1.23309743,0.685639322,0.04845104,354898.5,0,0,1549.49976,0.002340725,0.545228362,0.289428949,1.20E-18,0.159680277,9.05E-12,0.005662375
0.00315034,0.010897541,0,138773.062,2000,0,0,0,0.297284305,0,0,758.806885,138773.062,2000,-527425536,2.92E-07,-7744.72754,2820.15503,0,-22547.7715,8210.51074,0,1.23303187,0.68565619,0.048414934,354560.719,0,0,1547.96692,0.002337079,0.545656323,0.289156497,1.83E-18,0.159537435,9.23E-12,0.005649674
0.003312905,0.011344186,0,138772.312,2000,0,0,0,0.297334731,0,0,758.721619,138772.312,2000,-525926912,2.92E-07,-7988.8335,2908.96338,0,-23263.1523,8470.83496,0,1.23297083,0.685676157,0.048090011,354138.156,0,0,1546.06897,0.002305539,0.546053052,0.288903952,2.38E-18,0.159406096,9.61E-12,0.005636852
0.00347547,0.01179083,0,138771.531,2000,0,0,0,0.297383249,0,0,758.639465,138771.531,2000,-524349024,2.92E-07,-8231.28418,2997.16528,0,-23985.7441,8733.77344,0,1.23291218,0.685699761,0.047445782,353583.594,0,0,1543.59802,0.002243929,0.546430528,0.288663656,2.78E-18,0.159283161,1.04E-11,0.005622608
0.003638035,0.012237474,0,138770.719,2000,0,0,0,0.297430813,0,0,758.558899,138770.719,2000,-522707392,2.92E-07,-8472.20312,3084.80078,0,-24717.5996,9000.06543,0,1.23285484,0.685726881,0.046479058,352889.5,0,0,1540.52063,0.002153351,0.546796024,0.288430989,3.33E-18,0.159166068,1.17E-11,0.005606871
