x,P,T,CO2,CO,C2,O2,C,O
-0.000225838,138788.047,2622.90039,0.513108194,0.309876353,3.06E-17,0.165565282,1.97E-11,0.011450133
-0.000208186,138788.062,2586.26074,0.514030039,0.309289485,2.70E-17,0.165763527,1.82E-11,0.010916867
-0.000191191,138788.078,2549.29297,0.514853895,0.308765054,2.38E-17,0.16595386,1.69E-11,0.010427152
-0.000174827,138788.094,2512.09863,0.515587807,0.308297843,2.22E-17,0.166134879,1.55E-11,0.009979433
-0.000159071,138788.109,2474.76904,0.516239345,0.307883084,2.11E-17,0.166305467,1.42E-11,0.009572067
-0.0001439,138788.125,2437.3855,0.516815484,0.307516307,1.97E-17,0.166464776,1.32E-11,0.009203377
-0.000129294,138788.125,2400.01929,0.517322659,0.307193458,1.85E-17,0.166612133,1.24E-11,0.008871701
-0.00011523,138788.141,2362.73169,0.517766595,0.306910843,1.79E-17,0.166747093,1.16E-11,0.008575412
-0.00010169,138788.156,2325.57471,0.518152475,0.306665212,1.74E-17,0.166869342,1.08E-11,0.008312942
-8.87E-05,138788.172,2288.5918,0.51848489,0.306453586,1.69E-17,0.166978672,1.03E-11,0.0080828
-7.61E-05,138788.172,2251.81763,0.518768013,0.306273371,1.63E-17,0.167074993,9.79E-12,0.007883588
-6.40E-05,138788.188,2215.2793,0.519005358,0.306122243,1.59E-17,0.167158321,9.37E-12,0.007714008
-5.24E-05,138788.203,2178.99707,0.519200206,0.305998206,1.56E-17,0.167228654,9.06E-12,0.007572864
-4.12E-05,138788.203,2142.98486,0.519355297,0.305899501,1.50E-17,0.167286098,8.88E-12,0.007459071
-3.04E-05,138788.219,2107.24976,0.519472957,0.305824578,1.45E-17,0.167330727,8.78E-12,0.007371667
-2.00E-05,138788.219,2071.79443,0.51955539,0.305772126,1.42E-17,0.167362645,8.67E-12,0.007309798
-1.00E-05,138788.234,2036.28186,0.519604564,0.305740803,1.40E-17,0.167382076,8.69E-12,0.007272485
3.68E-10,138788.234,2000,0.519621134,0.305730253,1.38E-17,0.167388722,8.76E-12,0.007259825
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
